N_comp_rpm,N_pump_rpm,T_cool_in_C,Q_evap_plant_W,Q_hx_potential_W,Q_ref_max_W,limit_type
2000.0,1600.0,15.0,806.4435777279654,842.2699388685896,806.4435777279654,Q_ref_max
2000.0,1600.0,17.5,818.0329582725827,818.0329582725827,885.0665821174773,Q_hx
2000.0,1600.0,20.0,900.1224299376285,900.1224299376285,953.2858604446943,Q_hx
2000.0,1600.0,22.5,984.349838625489,984.349838625489,1024.4880408681845,Q_hx
2000.0,1600.0,25.0,1070.8061625797823,1070.8061625797823,1099.348136613445,Q_hx
2000.0,1600.0,27.5,1158.3964168388643,1158.3964168388643,1178.5690521017818,Q_hx
2000.0,1600.0,30.0,1246.6790469336138,1246.6790469336138,1262.0942020232778,Q_hx
2000.0,1600.0,32.5,1338.0852606994515,1338.0852606994515,1349.720024260676,Q_hx
2000.0,1600.0,35.0,1433.2752514939978,1433.2752514939978,1441.4927162941942,Q_hx
2000.0,2400.0,15.0,834.8050818917279,956.862495873535,834.8050818917279,Q_ref_max
2000.0,2400.0,17.5,741.1222339262836,741.1222339262836,930.7070172942542,Q_hx
2000.0,2400.0,20.0,795.7964813550685,795.7964813550685,1007.2968278084994,Q_hx
2000.0,2400.0,22.5,898.402950999472,898.402950999472,1084.3601857430729,Q_hx
2000.0,2400.0,25.0,1008.7543508681629,1008.7543508681629,1165.2401965074394,Q_hx
2000.0,2400.0,27.5,1125.7137708963908,1125.7137708963908,1250.2193098405405,Q_hx
2000.0,2400.0,30.0,1239.28923911846,1239.28923911846,1340.5224271702075,Q_hx
2000.0,2400.0,32.5,1355.3570178626092,1355.3570178626092,1435.609621783499,Q_hx
2000.0,2400.0,35.0,1474.1826228960522,1474.1826228960522,1535.7725502910953,Q_hx
2000.0,3200.0,15.0,852.8867061030276,981.8183453880122,852.8867061030276,Q_ref_max
2000.0,3200.0,17.5,930.7070172942542,990.2356964354905,930.7070172942542,Q_ref_max
2000.0,3200.0,20.0,998.1494691310771,998.1494691310771,1011.8722074301718,Q_hx
2000.0,3200.0,22.5,1005.5924666081958,1005.5924666081958,1098.5683584543406,Q_hx
2000.0,3200.0,25.0,1012.5955885316143,1012.5955885316143,1191.0699783697974,Q_hx
2000.0,3200.0,27.5,1019.18787961757,1019.18787961757,1289.6100554433867,Q_hx
2000.0,3200.0,30.0,1120.9222379709108,1120.9222379709108,1386.2862767888837,Q_hx
2000.0,3200.0,32.5,1251.3377687228492,1251.3377687228492,1486.4104263547367,Q_hx
2000.0,3200.0,35.0,1390.566070939946,1390.566070939946,1591.2870578629,Q_hx
2000.0,4000.0,15.0,852.8867061030276,1230.157654096927,852.8867061030276,Q_ref_max
2000.0,4000.0,17.5,930.7070172942542,1243.403616259606,930.7070172942542,Q_ref_max
2000.0,4000.0,20.0,1011.8722074301718,1255.9086892715497,1011.8722074301718,Q_ref_max
2000.0,4000.0,22.5,1098.5683584543406,1267.7156697689509,1098.5683584543406,Q_ref_max
2000.0,4000.0,25.0,1191.0699783697974,1278.8655827686027,1191.0699783697974,Q_ref_max
2000.0,4000.0,27.5,1289.3976081650792,1289.3976081650792,1289.6100554433867,Q_hx
2000.0,4000.0,30.0,1299.349032279,1299.349032279,1394.4372768761157,Q_hx
2000.0,4000.0,32.5,1308.7552460535114,1308.7552460535114,1506.0471055970697,Q_hx
2000.0,4000.0,35.0,1317.6497561955644,1317.6497561955644,1624.4376095644484,Q_hx
2000.0,4800.0,15.0,852.8867061030276,1590.0912891878802,852.8867061030276,Q_ref_max
2000.0,4800.0,17.5,930.7070172942542,1612.311900489375,930.7070172942542,Q_ref_max
2000.0,4800.0,20.0,1011.8722074301718,1633.4171751626932,1011.8722074301718,Q_ref_max
2000.0,4800.0,22.5,1098.5683584543406,1653.4587494848477,1098.5683584543406,Q_ref_max
2000.0,4800.0,25.0,1191.0699783697974,1672.4877726417187,1191.0699783697974,Q_ref_max
2000.0,4800.0,27.5,1289.6100554433867,1690.5545376890548,1289.6100554433867,Q_ref_max
2000.0,4800.0,30.0,1394.4372768761157,1707.7081672478912,1394.4372768761157,Q_ref_max
2000.0,4800.0,32.5,1506.0471055970697,1723.996393336508,1506.0471055970697,Q_ref_max
2000.0,4800.0,35.0,1624.4376095644484,1739.4653751035762,1624.4376095644484,Q_ref_max
3000.0,1600.0,15.0,1205.126835477359,1205.126835477359,1208.6008901512123,Q_hx
3000.0,1600.0,17.5,1288.7572607021314,1288.7572607021314,1301.6807656688447,Q_hx
3000.0,1600.0,20.0,1388.1342544219433,1388.1342544219433,1397.2886863154308,Q_hx
3000.0,1600.0,22.5,1491.7804151610435,1491.7804151610435,1497.3250948155837,Q_hx
3000.0,1600.0,25.0,1599.627659687069,1599.627659687069,1601.8462761550886,Q_hx
3000.0,1600.0,27.5,1710.3491406341466,1710.3491406341466,1711.177819324502,Q_hx
3000.0,1600.0,30.0,1824.5240128980988,1824.5240128980988,1825.125909333603,Q_hx
3000.0,1600.0,32.5,1942.518579959871,1942.518579959871,1943.8988355487534,Q_hx
3000.0,1600.0,35.0,2064.2899924477174,2064.2899924477174,2067.574797544532,Q_hx
3000.0,2400.0,15.0,1271.1170909719128,1338.8004384698756,1271.1170909719128,Q_ref_max
3000.0,2400.0,17.5,1298.0829186196054,1298.0829186196054,1389.4354740862827,Q_hx
